Drug_Name,Reason,Description
Carviflo 40mg Capsule 10'SCarviflo 20mg Capsule 10'SCarviflo 10mg Capsule 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy
Carviflo CR 10mg Tablet 10'SCarviflo CR 20mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
Carvil 6.25mg Tablet 10'SCarvil 3.125mg Tablet 10'SCarvil 25mg Tablet 10'SCarvil OD 20mg Capsule 10'SCarvil 12.5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Carvil OD 10mg Tablet 10'SCarvil OD 40mg Tablet 10'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Carvipress 12.5mg Tablet 10'SCarvipress 25mg Tablet 10'SCarvipress 3.125mg Tablet 10'SCarvipress 6.25mg Tablet 10'S,Hypertension, treat high blood pressure (hypertension) and a type of chest pain called angina
Carvistar 12.5mg Tablet 10'SCarvistar 6.25mg Tablet 10'SCarvistar 3.125mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Carvistar CR 10mg Tablet 10'SCarvistar CR 20mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Carzec 12.5mg Tablet 10'SCarzec 6.25mg Tablet 10'SCarzec 25mg Tablet 10'SCarzec 3.125mg Tablet 10'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Catapres 150mcg Tablet 10'S,Hypertension, treat high blood pressure (hypertension) and a type of chest pain called angina
Catapres Diu 0.1/15mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Catenol 25mg Tablet 10'SCatenol 50mg Tablet 14'SCatenol 25mg Tablet 14'SCatenol 100mg Tablet 14'SCatenol 50mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Ccad 10Mg Tablet 10'sCcad 5Mg Tablet 10'sCcad 20Mg Tablet 10's,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Cdpin 10mg Tablet 10'SCdpin 5mg Tablet 10'SCdpin 20mg Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy
Celavi M Tablet 15'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
Celavi O 10/20mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Celavi Trio Tablet 10'SCelavi Trio Tablet 15's,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Centapres 5mg Tablet 10'SCentapres 20mg Tablet 10'SCentapres 10mg Tablet 10'S,Hypertension, treat high blood pressure (hypertension) and a type of chest pain called angina
Cersar 20mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Cetanil 5mg Tablet 15'SCetanil 10mg Tablet 15'SCetanil 5mg Tablet 10'SCetanil 12.5mg Tablet 10'SCetanil T 80mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Cetanil CT Tablet 10'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Cetanil M 50mg Tablet 10'S,Hypertension, treat high blood pressure (hypertension) and a type of chest pain called angina
Cetanil O Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Cetanil T 40mg Tablet 10'SCetanil T 20/40mg Tablet 10'SCetanil T Tablet 15'S,Hypertension,lower high blood pressure (hypertension)
Cetanil Trio 6.25mg Tablet 10'SCetanil Trio 12.5mg Tablet 10'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Channel SR 90mg Tablet 10'SChannel 30mg Tablet 10'SChannel 60mg Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy
Channel SR 90mg Capsule 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
Chlorfid 12.5Mg Tablet 10'sChlorfid 6.25Mg Tablet 10's,Hypertension,lower high blood pressure (hypertension)
Cilacar 20mg Tablet 10'SCilacar C 6.25mg Tablet 10'SCilacar 5mg Tablet 10'SCilacar 10mg Tablet 10'SCilacar C Tablet 10'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Cilacar M 10/50mg Tablet 10'SCilacar M 10/25mg Tablet 10'S,Hypertension, treat high blood pressure (hypertension) and a type of chest pain called angina
Cilacar O 40mg Tablet 10'SCilacar O 20mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Cilacar T 80mg Tablet 10'SCilacar T 40mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Cilacar TC 6.25mg Tablet 10'SCilacar TC 12.5mg Tablet 10'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Ciladuo 10mg Tablet 10'SCiladuo 5mg Tablet 10'S,Hypertension, treat high blood pressure (hypertension) and a type of chest pain called angina
Cilaheart 5mg Tablet 10'SCilaheart 20mg Tablet 10'SCilaheart 10mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Cilaheart T Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Cilamet XL 25mg Tablet 10'SCilamet XL 50mg Tablet 10'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Cilamet XL 20/25mg Tablet 10'SCilamet XL 10/25mg Tablet 10'SCilamet XL 20/50mg Tablet 10'SCilamet XL 10/50mg Tablet 10'SCilamet XL 10/50mg Tablet 15'SCilamet XL 10/25mg Tablet 15'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy
Cilbest 10Mg Tablet 10'sCilbest 5Mg Tablet 10's,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
Cilday 5mg Tablet 10'SCilday 10mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Cilden 10mg Tablet 10'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Cildip 20mg Tablet 10'SCildip 10mg Tablet 10'SCildip 5mg Tablet 10'S,Hypertension, treat high blood pressure (hypertension) and a type of chest pain called angina
Cildip 3D Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Cildip T Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
CILDIPIN 10mg Tablet 10'sCILDIPIN 5mg Tablet 10's,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Cildipin T Tablet 10's,Hypertension, treat high blood pressure (hypertension) and a type of chest pain called angina
Ciledge 10mg Tablet 10'SCiledge 20mg Tablet 10'SCiledge 5mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Ciledge CT 6.25mg Tablet 10'SCiledge CT 12.5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
CILICAD T Tablet 10's,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Cilidin 20mg Tablet 10'SCilidin 5mg Tablet 10'SCilidin 10mg Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy
Cilidin CH Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
Cilidin M 10/50mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Cilidin O 40mg Tablet 10'SCilidin O 20mg Tablet 10'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Cilidin T 10/40mg Tablet 10'S,Hypertension, treat high blood pressure (hypertension) and a type of chest pain called angina
Cilidin Trio 20mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
CILINEXT 10mg Tablet 10's,Hypertension,lower high blood pressure (hypertension)
Cilinext T Tablet 10'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Cilnep 10mg Tablet 10'S,Hypertension, treat high blood pressure (hypertension) and a type of chest pain called angina
Cilniblu 10mg Tablet 15'SCilniblu 5mg Tablet 15'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
CILNIBLU T Tablet 15's,Hypertension,lower high blood pressure (hypertension)
Cilnicab 10mg Tablet 10'SCilnicab 5mg Tablet 10'SCilnicab 20mg Tablet 10'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Cilnicab Beta 10/50mg Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy
Cilnicab TM Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
CILNIDIPINE 5mg Tablet 10'sCilnidipine 20mg Tablet 10'SCilnidipine 10mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Cilnikem 10mg Tablet 10'SCilnikem 5mg Tablet 10'SCilnikem 20mg Tablet 10'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Cilnikem Beta 10/5mg Tablet 10'SCilnikem Beta 2.5/10mg Tablet 10'S,Hypertension, treat high blood pressure (hypertension) and a type of chest pain called angina
Cilnikem CT 10/12.5mg Tablet 10'SCilnikem CT 10/6.25/Mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Cilnikem OM 10/20mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Cilnipar 10mg Tablet 10'SCilnipar 5mg Tablet 10'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Cilnipar M Tablet 10'S,Hypertension, treat high blood pressure (hypertension) and a type of chest pain called angina
Cilnipar T Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Cilnipine 10mg Tablet 10'SCilnipine 20mg Tablet 10'SCilnipine 5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Cilnipine T 40mg Tablet 10'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Cilnipres 20mg Tablet 10'SCilnipres 5mg Tablet 10'SCilnipres 10mg Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy
Cilnipres C 12.5mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
Cilnipres N Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Cilnipres T 80mg Tablet 10'SCilnipres T Tablet 10'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Cilnipres TC 6.25mg Tablet 10'SCilnipres TC 12.5mg Tablet 10'S,Hypertension, treat high blood pressure (hypertension) and a type of chest pain called angina
Cilnipres Trio 12.5mg Tablet 10'SCilnipres Trio 6.25mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Cilnitab 10mg Tablet 15'SCilnitab 20mg Tablet 15'SCilnitab 5mg Tablet 15'S,Hypertension,lower high blood pressure (hypertension)
Cilny 20mg Tablet 10'SCilny 5mg Tablet 10'SCilny 10mg Tablet 10'SCilny 40Mg Tablet 10'sCILNY 5mg Tablet 15's,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Cilny O 20mg Tablet 10'S,Hypertension, treat high blood pressure (hypertension) and a type of chest pain called angina
Cilny T 40Mg Tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Cilogard 10mg Tablet 10'SCilogard 5mg Tablet 10'SCilogard 20mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Cilogard T 10/40mg Tablet 10'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Cilory 5mg Tablet 10'SCilory 10mg Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy
Cilory CT 10mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
Cilovas 5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Cilpin 5mg Tablet 10'SCilpin 10mg Tablet 30'SCilpin 10mg Tablet 10'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Cilpin T Tablet 10'SCilpin T Tablet 30'S,Hypertension, treat high blood pressure (hypertension) and a type of chest pain called angina
Cilren 10mg Tablet 10'SCilren 20mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Cilsam 5Mg Tablet 6's,Hypertension,lower high blood pressure (hypertension)
Cilvas 10mg Tablet 10'SCilvas 5mg Tablet 10'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Cilzen 10mg Tablet 10'SCilzen 5mg Tablet 10'S,Hypertension, treat high blood pressure (hypertension) and a type of chest pain called angina
Cimlin 10mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Cinod 20mg Tablet 15'SCinod 10mg Tablet 15'SCinod 10mg Tablet 10'SCinod 5mg Tablet 15'SCinod 5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Cinod Beta 10/25mg Tablet 15'SCinod Beta 10/50mg Tablet 15'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Cinod N 2.5mg Tablet 10'SCinod N 5mg Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy
Cinod T 20mg Tablet 15'SCinod T Tablet 15'sCinod T 10mg Tablet 10'SCinod T 5mg Tablet 10'SCinod T 20mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
Ciplar 10mg Tablet 15'SCiplar LA 40mg Tablet 10'SCiplar 40mg Tablet 15'SCiplar 8mg Tablet 10'SCiplar LA 80mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Ciplar H 40/25mg Tablet 10'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Ciplar LA 40mg Tablet 15'SCiplar LA 10mg Tablet 10'SCiplar LA 20mg Tablet 15'S,Hypertension, treat high blood pressure (hypertension) and a type of chest pain called angina
Cipril 5mg Tablet 10'SCipril 2.5mg Tablet 10'SCipril 20mg Tablet 10'SCipril 10mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Cipril H 5/12.5mg Tablet 10'SCipril H 10/12.5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Cipril H Forte Tablet 10'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Cliaduo 5mg Tablet 1'SCliaduo 10mg Tablet 1'S,Hypertension, treat high blood pressure (hypertension) and a type of chest pain called angina
Clinicab 20mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Clinipine T 10/40mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Cloneon 150mcg Injection 1'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Clovet 12.5mg Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy
Clovet M 50/6.25 Tablet 10'SClovet M 25/6.25 Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
Clovet T 6.25mg Tablet 10'SClovet T 12.5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
CO Diovan 160mg/25mg Tablet 14'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
CO Diovan Fct 80/12.5mg Tablet 14'SCO Diovan Fct 160/12.5mg Tablet 14'S,Hypertension, treat high blood pressure (hypertension) and a type of chest pain called angina
Coaprovel 300/12.5mg Tablet 14'SCoaprovel 150mg Tablet 14'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Coligetz 2Miu Injection 1'S,Hypertension,lower high blood pressure (hypertension)
Conape 4mg Tablet 10'SConape 2mg Tablet 10'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Conape Plus 4/1.25mg Tablet 10'S,Hypertension, treat high blood pressure (hypertension) and a type of chest pain called angina
Concor 5mg Tablet 10'SConcor 2.5mg Tablet 30'SConcor 10mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Concor AM 2.5mg Tablet 10'SConcor AM 5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Concor Cor 1.25mg Tablet 10'SConcor Cor 2.5mg Tablet 10'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Concor Plus Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy
Converten 5mg Tablet 10'SConverten 2.5mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
Corbis 2.5mg Tablet 15'SCorbis 5mg Tablet 15'SCorbis H 5mg Tablet 10'SCorbis 10mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Corbis AM 5/5mg Tablet 10'SCorbis AM 5/2.5mg Tablet 10'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
CORBIS H 2.5mg Tablet 10'SCorbis H 2.5/6.25mg Tablet 10'S,Hypertension, treat high blood pressure (hypertension) and a type of chest pain called angina
Corpril 5mg Tablet 10'SCorpril 5mg Capsule 10'SCorpril 10mg Tablet 10'SCorpril 2.5mg Tablet 10'SCorpril 1.25mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Corpril AM 5/2.5mg Capsule 10'S,Hypertension,lower high blood pressure (hypertension)
Corsa 5Mg Tablet 10's,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Corsa M 10/50Mg Tablet 10's,Hypertension, treat high blood pressure (hypertension) and a type of chest pain called angina
Corsa T Tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Cortel 80mg Tablet 15'SCortel 20mg Tablet 15'SCortel 80mg Tablet 10'SCortel 40mg Tablet 15'SCortel 20mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Cortel A Tablet 10'SCortel A Tablet 15'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Cortel CH 40mg Tablet 15'SCortel CH 40mg Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy
Cortel H 40mg Tablet 10'SCortel H 40mg Tablet 15'SCortel H 80mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
Cortel LN Tablet 10'SCortel LN Tablet 15'S,Hypertension,lower high blood pressure (hypertension)
Cortel M 25mg Tablet 15'SCortel M 50mg Tablet 15'SCortel M 25mg Tablet 10'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Cortel Trio Tablet 15'SCortel Trio Tablet 10'S,Hypertension, treat high blood pressure (hypertension) and a type of chest pain called angina
Corvadil A Tablet 10'SCorvadil 5mg Tablet 10'SCorvadil 2.5mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Corvadil A Tablet 15'S,Hypertension,lower high blood pressure (hypertension)
Corvadil M 50/5mg Tablet 10'SCorvadil M 25/2.5mg Tablet 10'SCorvadil M 25/5mg Tablet 10'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Cosart 50mg Tablet 10'SCosart 25mg Tablet 10'S,Hypertension, treat high blood pressure (hypertension) and a type of chest pain called angina
Cosart H Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Covamlo Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Covance 25mg Tablet 10'SCovance 25mg Tablet 30'SCovance 50mg Tablet 10'SCovance 50mg Tablet 30'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Covance AT Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy
Covance CT Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
Covance D Tablet 10'SCovance D 50/12.5mg Tablet 30'S,Hypertension,lower high blood pressure (hypertension)
Coversyl 8mg Tablet 10'SCoversyl 4mg Tablet 10'SCoversyl 2mg Tablet 10'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Coversyl AM 8/5mg Tablet 10'SCoversyl AM 4/5mg Tablet 10'SCoversyl AM 4/10mg Tablet 10'SCoversyl AM 8/10mg Tablet 10'S,Hypertension, treat high blood pressure (hypertension) and a type of chest pain called angina
Coversyl Plus Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Coversyl Plus HD Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Creasar H 80/12.5mg Tablet 10'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Crema Gel 30gm,Hypertension, treat high blood pressure (hypertension) and a type of chest pain called angina
Cresar 40mg Tablet 15'SCresar 80mg Tablet 10'SCresar 20mg Tablet 15'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Cresar AM 40/5mg Tablet 15'SCresar AM 80mg Tablet 10'SCresar AM 40mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Cresar CT 40/12.5mg Tablet 10'SCRESAR CT 40/6.25mg Tablet 10'sCresar CT 80mg Tablet 10'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Cresar H 40mg Tablet 10'SCresar H 40mg Tablet 15'SCresar H 80mg Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy
Cresar Plus Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
Cresar R 40/2.5mg Tablet 10'SCresar R 40/5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Creslip 40/10mg Tablet 10'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
CTD L 6.25/50mg Tablet 10'SCTD T 6.25/40mg Tablet 10'SCTD L 12.5/25mg Tablet 10'SCTD 12.5mg Tablet 15'SCTD C 6.25/10mg Tablet 10'SCTD L 6.25/25mg Tablet 10'SCTD M 6.25/50mg Tablet 10'SCTD T 12.5/40mg Tablet 10'SCTD L 12.5/50mg Tablet 10'SCTD M 6.25/25mg Tablet 10'S,Hypertension, treat high blood pressure (hypertension) and a type of chest pain called angina
CTD AZ 40/12.5mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
CTD C 12.5/10mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
CTD L 25/12.5mg Tablet 10'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
CTD M 12.5/50mg Tablet 10'S,Hypertension, treat high blood pressure (hypertension) and a type of chest pain called angina
CTD O 12.5/40mg Tablet 10'SCTD O 6.25/40mg Tablet 10'SCTD O 12.5/20mg Tablet 10'SCTD O 6.25/20mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
CTD T 12.5/20mg Tablet 10'SCTD T 40/12.5mg Tablet 10'SCTD T 40/6.25mg Tablet 10'SCTD T 6.25/20mg Tablet 10'SCTD T 12.5/40mg Tablet 15'SCTD T 12.5/80mg Tablet 10'SCTD T 6.25/40mg Tablet 15'S,Hypertension,lower high blood pressure (hypertension)
Cymet ER 50mg Tablet 10'SCymet ER 25mg Tablet 10'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Cymet Plus 50/5mg Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy
D Void Tablet 10'SD Void 0.01% Spray 2.5ml,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
Defidin 5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Defidin A 5/50mg Tablet 10'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Depicor 5mg Capsule 10'SDepicor SR 20mg Tablet 20'SDepicor 5mg Tablet 20'SDepicor 10mg Capsule 10'S,Hypertension, treat high blood pressure (hypertension) and a type of chest pain called angina
Depicor SR 10mg Tablet 20'SDepicor SR 20mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Depin 10mg Capsule 30'SDepin Retard 20mg Tablet 10'SDepin 5mg Capsule 50'S,Hypertension,lower high blood pressure (hypertension)
Depin SR 30mg Tablet 10'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Depten 50/20mg Tablet 10'S,Hypertension, treat high blood pressure (hypertension) and a type of chest pain called angina
Digitel 40mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Dilcardia 30mg Tablet 10'SDilcardia 60mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Dilcontin 60mg Tablet 10'SDilcontin XL 90mg Tablet 10'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Dilcontin XL 120mg Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy
Dilgard 30mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
Dilgard XL 300mg Capsule 10'SDilgard XL 180mg Capsule 10'SDilgard XL 90mg Capsule 10'SDilgard XL 240mg Capsule 10'SDilgard XL 120mg Capsule 10'S,Hypertension,lower high blood pressure (hypertension)
Dilgel Gel 30gm,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Dilminox 5mg Tablet 10'S,Hypertension, treat high blood pressure (hypertension) and a type of chest pain called angina
Dilnip 5mg Tablet 10'SDilnip 20mg Tablet 10'SDilnip 10mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Dilnip T 10/40mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Dilnip Trio Tablet 10'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Dilnorm 25mg Tablet 10'S,Hypertension, treat high blood pressure (hypertension) and a type of chest pain called angina
Dilosar H 60/12.5mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Dilpres 50mg Tablet 14'S,Hypertension,lower high blood pressure (hypertension)
Dilter CD 120mg Tablet 6'S,Hypertension,lower chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
